candidate_id,name,state,party,individual_contributions,withdrawn
S6FL00756,"WEIL, JOSHUA JOSEPH",FL,DEM,15463011.3,0
S6FL00855,"VINDMAN, ALEXANDER",FL,DEM,8021891.6,0
S6FL00806,"MUJICA, HECTOR DANIEL",FL,DEM,644002.58,0
S6FL00830,"NIXON, ANGELA",FL,DEM,293583.92,0
S2FL00581,"GRAYSON, ALAN MARK",FL,DEM,29991.64,0
S6FL00749,"ATKINS, JOEY MENDOZA",FL,DEM,7123.75,0
S6FL00673,"LYLES, TAMIKA MS",FL,DEM,2287.14,0
S6FL00640,"MOODY, ASHLEY",FL,REP,2748661.48,0
S6FL00657,"LANG, JAKE",FL,REP,5834.0,0
S6FL00848,"GLEASON, CHRISTOPHER",FL,REP,3429.73,0
S6FL00624,"LAROSE, JOSUE ECONOMIST",FL,REP,0.0,0
S8GA00180,"OSSOFF, T. JONATHAN",GA,DEM,53243293.44,0
S6GA00408,"DOOLEY, DEREK",GA,REP,4142679.97,0
S6GA00390,"COLLINS, MICHAEL A JR",GA,REP,3175406.08,0
S6GA00374,"CARTER, EARL LEROY",GA,REP,2040840.26,0
S6GA00382,"KING, JOHN",GA,REP,551345.42,0
S2GA00282,"MCCOLUMN, JONATHAN MR",GA,REP,6143.79,0
S6IA00272,"WAHLS, ZACH P",IA,DEM,3585798.1,0
S6IA00298,"TUREK, JOSHUA",IA,DEM,3309967.72,0
S6IA00256,"SAGE, NATHAN",IA,DEM,1397235.36,0
S6IA00280,"NORRIS, JACKIE",IA,DEM,351417.86,0
S6IA00264,"SCHOLTEN, JAMES",IA,DEM,199410.45,0
S6IA00314,"ARENHOLZ, ASHLEY HINSON",IA,REP,4523560.37,0
S4IA00129,"ERNST, JONI K",IA,REP,997371.94,0
S6IA00249,"CARLIN, JAMES",IA,REP,134409.57,0
S6ME00373,"PLATNER, GRAHAM",ME,DEM,16109776.14,0
S6ME00407,"MILLS, JANET TRAFTON",ME,DEM,5494457.38,0
S6ME00381,"KLEBAN, DAN",ME,DEM,244074.58,0
S4ME00113,"COSTELLO, DAVID",ME,DEM,34375.94,0
S6ME00365,"RODRIGUEZ, DAIRA",ME,DEM,29582.33,0
S6ME00340,"LAFLAMME, ANDREA",ME,DEM,5989.32,0
S6ME00357,"FAVREAU, TUCKER",ME,DEM,4928.77,0
S6ME00159,"COLLINS, SUSAN M.",ME,REP,7330108.08,0
S6ME00316,"CALABRESE, CARMEM VINCENT MR.",ME,REP,17759.71,0
S6ME00324,"CALABRESE, CARMEN VINCENT MR.",ME,REP,17759.71,0
S6MT00238,"NEILL, REILLY",MT,DEM,160258.08,0
S6MT00246,"BLACKWOLF, MICHAEL JAMES MR.",MT,DEM,25602.0,0
S6MT00253,"BANKHEAD, ALANI INES",MT,DEM,17362.0,0
S4MT00217,"HUMMERT, MICHAEL",MT,DEM,1530.0,0
S6MT00303,"KEHOE, CHRISTOPHER",MT,DEM,0.0,0
S2MT00096,"DAINES, STEVE",MT,REP,1383655.38,0
S6MT00295,"ALME, KURT",MT,REP,585059.99,0
S6NC00407,"COOPER, ROY",NC,DEM,10689977.85,0
S6NC00340,"NICKEL, WILEY",NC,DEM,534864.47,0
S8NC00270,"WILLIAMS, MARCUS W.",NC,DEM,5656.28,0
S6NC00415,"WHATLEY, MICHAEL",NC,REP,3752923.06,0
S4NC00162,"TILLIS, THOM R SEN",NC,REP,2636769.36,0
S6NC00373,"BROWN, DON",NC,REP,211660.12,0
S6NC00522,"MORROW, MICHELE",NC,REP,12713.82,0
S6NC00357,"NILSSON, ROBERT ANDERS MR",NC,REP,5651.22,0
S6NC00480,"JOHNSON, THOMAS LEE",NC,REP,2202.97,0
S6NC00472,"DANSIE, RICHARD",NC,REP,10.0,0
S6OH00163,"BROWN, SHERROD",OH,DEM,21053052.02,0
S6OH00387,"ODE, FREDERICK J",OH,DEM,5000000.0,0
S6OH00361,"KINCAID, RONALD E JR",OH,DEM,31016.14,0
S6OH00346,"VOLPE, CHRISTOPHER",OH,DEM,4203.35,0
S6OH00353,"VOLPE, CHRISTOPHER",OH,DEM,4203.35,0
S6OH00304,"HUSTED, JON",OH,REP,4296470.44,0
S6TX00479,"TALARICO, JAMES",TX,DEM,40089299.87,0
S4TX00722,"ALLRED, COLIN",TX,DEM,6648566.14,0
S6TX00552,"CROCKETT, JASMINE",TX,DEM,6152063.47,0
S6TX00396,"SWANSON, MICHAEL",TX,DEM,1209.36,0
S6TX00388,"PAXTON, WARREN KENNETH JR.",TX,REP,7578124.62,0
S2TX00106,"CORNYN, JOHN SEN",TX,REP,3390658.83,0
S6TX00511,"HUNT, WESLEY",TX,REP,1376471.65,0
S0TX00365,"BIERSCHWALE, VIRGIL",TX,REP,7638.18,0
S6TX00362,"KHAN, GULREZ",TX,REP,6692.0,0
S6TX00545,"CANADY, SARA LARUE",TX,REP,705.0,0
S6TX00560,"BENDER, ANNA",TX,REP,0.0,0
S6TX00321,"SCHMOKER, TONY",TX,REP,0.0,0
